,고객ID,거주지,cluster,A_상반기_가구/인테리어_변화,B_상반기_가구/인테리어_변화,A_상반기_디지털/가전_변화,B_상반기_디지털/가전_변화,A_상반기_생활/건강_변화,B_상반기_생활/건강_변화,A_상반기_스포츠/레저_변화,B_상반기_스포츠/레저_변화,A_상반기_식품_변화,B_상반기_식품_변화,A_상반기_패션의류_변화,B_상반기_패션의류_변화,A_상반기_패션잡화_변화,B_상반기_패션잡화_변화,A_상반기_화장품/미용_변화,B_상반기_화장품/미용_변화,A_하반기_가구/인테리어_변화,B_하반기_가구/인테리어_변화,A_하반기_디지털/가전_변화,B_하반기_디지털/가전_변화,A_하반기_생활/건강_변화,B_하반기_생활/건강_변화,A_하반기_스포츠/레저_변화,B_하반기_스포츠/레저_변화,A_하반기_식품_변화,B_하반기_식품_변화,A_하반기_패션의류_변화,B_하반기_패션의류_변화,A_하반기_패션잡화_변화,B_하반기_패션잡화_변화,A_하반기_화장품/미용_변화,B_하반기_화장품/미용_변화,구매감소
0,4,서울시,6,-100,-100,0,0,315.3987069,95.73667712,-89.20666501,0,-21.25096155,189.5602094,-61.85980014,0,-76.5402905,-100,55.52190373,0,-85.91022444,-76.82432432,0,0,142.6213592,-97.65017668,-84.25042798,0,38.165866,-33.12802119,-36.25286801,229.1284404,-6.124604013,9.197635135,-97.7458112,0,TRUE
1,6,강원도,6,458.8333333,0,0,0,-68.15631263,-67.09637663,0,-86.75675676,-10.50267537,-39.75396109,-29.83121232,-66.88172043,-48.42775468,0,40,-56.42969984,-100,-65.79949239,0,0,-30.69306931,-35.94319317,0,0,-66.72188648,15.41732538,5.471028774,-16.73202614,353,-25,-80.93740411,-57.50767263,FALSE
2,7,서울시,6,-7.225352113,0,0,0,1220,175.5844619,-79.81627703,-100,-15.86153659,-32.55861691,28.1009291,0,-84.82708792,0,-14.37853107,0,-86.28781331,-100,-85.41666667,0,0,1.630620181,-63.02997378,0,12.1523247,-99.62213946,-33.75588734,0,-89.18759504,-100,934.4444444,0,FALSE
3,9,경기도,6,0,0,310.7627242,0,392.8736842,0,-67.2347578,0,48.1723705,0,-41.67932455,0,10747.2,0,1752.072174,0,0,0,360.5838816,0,-96.2351586,0,-80.68608277,0,149.4339745,0,-53.82570218,0,54.68578564,0,370.5178017,0,FALSE
4,10,서울시,6,0,0,0,0,-100,0,-100,0,-54.29028505,15331.37105,28.24423116,0,-68.82666667,0,-26.84227607,-100,-81.45380435,278.7313433,0,0,0,89.80514208,-100,0,-62.38628553,-55.70490849,754.3589744,0,162.5,0,-71.83266932,375.86,TRUE
5,13,인천시,6,0,-100,0,0,-51.38349835,-76.5616622,0,-100,-37.2040108,24.82322856,-73.07160494,-91.40350877,587.5909091,34.75,-4.908466819,0,0,0,0,0,-52.42491657,-78.94087501,-100,0,-9.094971617,-17.4907466,-53.77842993,0,-28.6,600,-100,-20.69425127,FALSE
6,14,서울시,6,0,-100,0,-100,-94.91726352,-93.89264149,-49.60202022,0,-8.759080108,-80.55146623,-49.78530406,-100,458.1968296,0,-85.44600939,-100,0,-100,0,0,-90.05025126,-70.64850944,-80.15384615,0,-20.86418989,-49.3929688,-61.56010883,0,-49.47080691,0,-46.44808743,-100,TRUE
7,15,서울시,6,0,0,0,0,0,-16.96624156,-65.24737114,0,-68.60893099,-26.89156632,-44.66540213,0,170.6211599,0,-58.94439208,74.3,0,0,0,0,692.05,-68.43428699,-84.89208633,-100,-70.80234977,-29.77576746,-94.58762887,0,-66.29213483,0,29.69653822,-26.30326383,TRUE
8,16,부산시,6,0,0,0,0,266.8689258,0,0,0,44.40069958,0,0,0,-86,0,0,0,2182.55,0,0,0,-77.21084566,0,-14.28571429,0,-46.88826011,691.4827586,-100,-100,404.8484848,0,-65.24593764,-100,FALSE
9,18,인천시,6,-95.77788913,0,-100,0,-67.97444473,-81.20805369,-100,0,-43.96511495,63.00450754,-99.94182165,0,-96.63569139,0,-77.2452057,0,-100,0,0,0,-42.89304397,0,-60.94202899,0,-22.86077693,-100,-96.06762778,0,-100,0,-91.42467355,0,TRUE
10,19,경기도,6,-75.376187,0,0,0,-37.95561139,0,11.37159186,0,-47.27524154,0,43.61638541,0,-85.96508963,0,-40.07211109,0,0,0,0,0,-26.38856132,0,-93.01997147,0,-1.551534449,-100,-33.21640242,0,17.48171178,0,-16.62200643,0,FALSE
11,22,서울시,6,0,0,0,0,-76.30382775,0,0,0,139.443183,0,-37.71043748,0,-81.86525752,0,-48.72645609,0,0,0,-100,0,-100,0,0,0,5.354600814,0,-58.67685662,0,-100,0,-68.35519383,0,TRUE
12,25,부산시,6,0,0,0,0,-100,0,0,0,16.11906297,0,312.0312658,0,285.3177925,0,82.9406495,-27.43902439,0,0,0,0,-100,0,248.9425982,0,-38.13139467,0,208.32875,0,287.8828511,0,0,-100,FALSE
